concurrency; total count; op/s; mean(ms); stdev %; la
5;1923801;32063;0.154;6;1.199
10;1980411;33007;0.301;11;1.070
15;5348777;89146;0.167;16;1.352
20;6265257;104421;0.190;15;1.852
25;6809951;113499;0.219;15;1.828
30;7415221;123587;0.241;15;1.969
40;7987509;133125;0.299;16;2.699
50;7761938;129366;0.385;19;2.762
60;7319605;121993;0.490;19;2.219
