concurrency; total count; op/s; mean(ms); stdev %; la
5;1780597;29677;0.166;9;0.711
10;3658295;60972;0.162;23;1.621
15;5274288;87905;0.169;16;2.391
20;6301434;105024;0.189;17;3.430
25;7089768;118163;0.210;18;3.641
30;7621758;127029;0.234;20;4.480
40;7343029;122384;0.325;25;4.660
50;7524919;125415;0.397;25;5.559
60;7813091;130218;0.459;24;7.309
